,xml_filenames,string,date_notBefore,date_notAfter,date_exact,date_cert
13,iAph120806.xml, ου καθ′οὗ ἐπικεῖται τόπου τὸ μνῆμα διὰ του  σορῷ γεγραμμένα ἐξώλης εἶναι καὶ αὐτὸς  αν μήτε γυναῖκας τίκτειν κατὰ φύσιν μήτε  πιη δὲ πᾶν γένος αὐτοῦ βωμῶν τε ἱερῶν ,0101,0300,none,no value
14,iAph080706.xml,ΑΣΤΡ ,0001,0200,none,low
15,iAph010189.xml,"ἡ πόλιςον Λικίννιον Οὐαλεριανὸν υἱὸν καὶ ἀδελφὸν τῶν Σεβαστῶν τὸν ἑαυ-τῆς εὐεργέτην, προνοησαμένου τῆςἀναστάσεωςτοῦ ἀξιολογωτάτου Ἀντωνίου Νεικομάχου τοῦπατρὸς τοῦ πρώτου ἄρχοντοςἈντωνίου Κλαυδίου Νεικομάχουἀρχιερέων ἐκγό νου 
",0253,0260,both,no value
16,iAph110022.xml, ἡ βουλὴ καὶ ὁ δῆμος ἐτείμησαν Ζήνωνα τετράκις Ὑψικλέους τοῦ Ὑψικλέους τοῦ Μενάνδρου τοῦ Ζήνωνος  Ὑψικλέα ου καὶ ιωναι γυμνασίαρχ στεφανηφόρ,0101,0300,none,no value
17,iAph120638.xml,τῷ ὛπνῳΣεπτίμιος Αὐρήλιος Φλάουιος ΟὐενίδιοςὙψικλῆς Εὔφρων ἀρχιερεὺς ὁ ἱερεὺς τοῦἈσκληπίου,0192,0300,notBefore,low
18,iAph130140.xml, ἡ σορὸς κὲ ἡ ὑποκειμένη ἰσώστη εἰσὶν  ἐν ᾗ κεκήδευτε Αὐρήλιος Ἀντώνιος Δημοσθένης ὁ προγεγραμμένος καὶ νιανὴ ἡ γυνὴ αὐτοῦ καὶ   λιανοῦ ὁ ἀνεψιὸς   αὐτοῦ  ,0101,0300,none,low
19,iAph080604.xml," τοῦτο
 νικᾳ. ",0301,0400,none,no value
20,iAph120637.xml, Ζώσιμος Μητροδωρον τὸν υἱὸν μνῆς  χάριν  ,0175,0300,no value,no value
21,iAph130702.xml,"

εως ἡγεμόνες ἐπεὶ ὁ παρὰ ταῦτά τι ποιήσας ἔστω ἀσεβὴς καὶ ἐπάρατος καὶ τυνβωρύχος καὶ προσαποτεισάτω εἰς τὸ ἱερώτατον Ῥωμαίων ταμεῖον ἀργυρίου δηνάρια   καὶ θεᾷ Ἀφροδείτῃ ἀργυρίου δηνάρια γ

ὧν τὸ τρίτον γενήσεται τοῦ ἐκδικήσαντος καὶ οὐδὲν ἧττον κύρια μενεῖ τὰ ὑπὸ αὐτοῦ διατεταγμένα  ἐν δὲ τῇ ὑπὸ τὴν σορὸν ἰσώστῃ κηδευθήσεται Αὐρήλιος Ζήνων

ος ὁ θρεπτὸς αὐτοῦ καὶ ὃν ἂν ὁ Ζήνων βουληθῇ ἐν δὲ

τῇ  ἰσώστῃ κηδευθήσεται Λαεὶς ἡ θρεπτὴ αὐτῶν καὶ οὓς ἂν

βουληθῶσι ταύτης τῆς ἐπιγραφῆς ἀντίγραφον ἀπετέθη εἰς τὸ χρεοφυλάκιον ἐπὶ στεφανηφόρου τὸ ιε Ἀτταλίδος τῆς Μενεκράτους μηνὸς Κεσαρεῶνος

ν Δημητρὸς ἐριστεφανοῖό τε Ῥείης Μόϊς ἐξ ἰδίων ταῦτ' ἐπέγραψα κόπων ",0101,0300,none,low
22,iAph120511.xml, ἡ βουλή ,0001,0100,no value,low
23,iAph150265.xml,    ἀναθήματ ΩΝΑΩΣΚΑ   τῇ πατρίδι   Ἀμμίαν Ε  ΑΣΑ  ,0001,0200,none,low
24,iAph110057.xml,   τὸν ἀξιολογώτατον  πρῶτον ἄρχοντα δὶς  ταμίαν γραμματέα  δήμου δὶς ἀρχινεωποιὸν τῆς θεοῦ Ἀφροδείτης πολλάκις ἀγοράνομον καὶ πάσας τὰς  μεγίστας ἀρχὰς ἐκτελέσαντα καὶ ἐν  ταῖς λοιπαῖς ἐπιδόσεσιν χρήσιμα πραξαντα τῇ πατρίδι συνγενῆ Τιβερίου Κλαυδίου Αὐρηλίου Καπετωλείνου ,0212,0300,none,no value
25,iAph050119.xml,"
 Παλλάδιος  ἐ
ποίει καὶ ἀνέθηκεν",0301,0350,none,low
26,iAph120706.xml,"
ἡ βουλὴ καὶ ὁ δῆμος ἐτείμησαν
 ταῖς καλλίσταις καὶ μεγίσταις τειμ
αῖς
 καὶ μετηλλακχότ
α
 Ἀριστοκλέα Ἀριστοκλέους
 τ
οῦ
 Ἀρτεμιδώρου

 Μολο
σσὸν
 ἱππικόν 
νεανίαν γενόμενον γένους τοῦ πρώτου καὶ συνεκτικότος τὴν πατρίδα 
καὶ ἐν γυμνασ
ιαρχίαις καὶ 
στεφανηφορίαις γεγονότος τὴν τειμὴν

 ἀνα
τε
θεικυίας Ἀμ
μίας τῆς  Ἀριστοκλέους
 τοῦ Ἀρτεμι
δ
ώρου



 γυναικός
 τῆς μη
τ
ρὸς αὐτοῦ 
",0034,0067,none,low
27,iAph110506.xml, Ζῶολυο,0001,0300,none,no value
28,iAph121102.xml, ἡ βουλὴ καὶ ὁ δῆμος ἐτείμησεν  Σωκράτην Θεοφράστου ἄνδρα  γενόμενον καλὸν καὶ ἀγαθόν   ,0001,0300,none,no value
29,iAph010144.xml,λυετιωιτοὺς δύωλουτῆραςἀνέθηκε,0101,0300,none,no value
30,iAph150236.xml, ἀνεψι  ὑπατικῶν  ΤΕΙΑ    ,0001,0300,none,low
31,iAph080090.xml,"


θειν
ν  τακ",0200,0500,no value,no value
32,iAph100024.xml,"
  Ὑψικλῆς  

 Ὑψικλῆς  

 αρ 

 αρ  
 αι 

 αι  ",0101,0600,none,low
33,iAph150214.xml,  Παπίαν   ἄνδρα καλὸν καὶ ἀγαθὸν    πρὸς τὴν πατρίδα γεγονοτα  ΦΙΛΟΥ   ΑΤΑ  ,-0199,-0001,none,low
34,iAph150315.xml,  οὐδεὶς δὲ ἕτερος ἕξει ἐξουσίαν ἐνθαψαι τινα  ΗΣ ἢ ἐν-  ,0101,0200,none,no value
35,iAph120524.xml, Αὐρήλιος Εὔμαχος Ἀπελλᾶ τοῦ ος τοῦ Ζήνωνος τοῦ Εὐδάμου Εὔδαμος κατεσκεύασεν τὸν βωμὸν καὶ τὴν ἐπικειμένην αὐτῶ σορὸν ἐφ' ᾧ ἐν μὲν τῇ σορῷ ταφήσεται Εὔμαχος ὁ προδηλούμενος καὶ Αὐρηλία Τατία Παπίου τοῦ Περείτου Πανκράτους ἡ γυνὴ αὐτοῦ καὶ Αὐρήλιος Διονύσιος ἑξάκι τοῦ Χρυσογόνου ὁ Τατίας τῆς Παπίου υἱὸς καὶ Αὐρήλιοι  Ἀπελλᾶς καὶ Εὐμαχιανὴ τὰ τέκνα αὐτοῦ καὶ Αὐρηλία Τιβερίου Κλαυδίου Ἀχιλλέως υἱοῦ Τολμίδου ἡ γυνὴ αὐτοῦ ἐν δὲ ταῖς ὑποκειμέναις εἰσώσταις ταφήσονται οὓς ἂν Εὔμαχος βουληθῇ καὶ διατάξηται τεθῆναι ἐν αὐταῖς καὶ ἔκγονα αὐτοῦ μόνα ἕτερος δὲ οὐδεὶς ἐξουσίαν ἕξει ἐνθάψαι τινὰ ἐν τῇ σορῷ οὔτε μετακεινῆσαι αὐτὴν οὔτε παραχωρῆσαι οὐδενί οὔτε τὸν βωμὸν οὔτε εἰσώστην ἀπ′ αὐτοῦ οὐδὲ τρόπον ἐφευρεῖν ᾧ ἐξαλλοτριωθῇ κατὰ παρεύρεσιν οὐδεμίαν ἀλλὰ μετὰ τὸ ταφῆναι τοὺς προγεγραμμένους πάντας ἀφηρωΐσθαι τὸ μνημεῖον ἐὰν δέ τις ἐπιχειρήσῃ ἢ ἐνθάψαι τινὰ ἐν τῇ σορῷ ἢ ἐν ταῖς εἰσώσταις ἢ μετακεινῆσαι τὴν σορὸν ἢ ὑπεναντίον τι τοῖς προγεγραμμένοις ποιῆσαι ἔστω ὅ τε ποιήσας ὅ τε ἀναδεξάμενος τυμβωρύχος καὶ ἀσεβὴς καὶ ἐπάρατος καὶ προσαποτεισάτωσαν ὅ τε ποιήσας ὅ τε ἀναδεξάμενος τῷ ταμείῳ τοῦ δήμου Ῥωμαίων ἀργυρίου δηνάρια μύρια καὶ οὐδὲν ἔλαττον ἔστω ἀφηρωϊσμένον τὸ ἡρῶον μετὰ τὸ τεθῆναι τοὺς προγεγραμμένους πάνταςτὸ τῆς ἐπιγραφῆς ἀντίγραφον ἀπετέθη εἰς τὸ χρεοφυλάκιον ἐπὶ στεφανηφόρου Γλύκωνος πεντάκι τοῦ Ἀρχιμήδους μηνὸς Τραϊανοῦ Σεβαστοῦ ,0101,0300,none,low
36,iAph080084.xml," ἡ βουλὴ καὶ ὁ δῆμος καὶ ἡ γερουσία καὶ οἱ νέοι ἐτείμησαν Τιβέριον Κλαύδιον Ζῆλον ἀρχιερέα καὶ ἱερέα διὰ βίου θεᾶς Ἀφροδείτης καὶ   τοῦ Δήμου, τὸν κτίστην καὶ εὐεργέτην ἐν πᾶσιν τῆς πατρίδος ἐπιμεληθέντος Ποπλίου Αἰλίου Καλλικράτους τοῦ πρωτολόγου ἄρχοντος ",0139,0161,no value,no value
37,iAph110060.xml, παῖδα τῶν εὖ γεγονότων  νείκησαντα ἐνδόξως  παίδων πυγμὴν ἐν ἀγῶνι   τὴς Ἀφροδεισιήων Φιλημον 5  ιήων εἰκοστῆς τετραετηρίδος ἀγωνοθετουντος Τιβερί ου Κλαυδίου  υἱου Ἀπολλωνίου Μαρκιανοῦ   Ἀσιαρχου καὶ ἀρχιερέως  τῆς πατρίδος προνοησαμένων τῶν τῆς ἐπιφανεστάτης θεᾶς   Ἀφροδείτης νεοποιῶν τῶν περὶ Τιβέριον Κλαύδιον Ἰούλιον Κάνδ ιδον Ἡγεμονέα Ἀσίας ἀρχιε ρέων   καὶ ἀρχιερέων υἱὸν καὶ ἔκ γονον συνγενη Α  ἀρχ ινεωποιὸν Ι χόμενο Ι  ΕΝ  κεφαλ  καθὼς καὶ ΤΟΙτοῦ ἀξιολογωτάτου   Αἰλίου  ΑΙ  ΠΡΕ ,0241,0241,no value,low
38,iAph080231.xml, ιισ αστον ο εαλ  ,0001,0300,none,low
39,iAph150245.xml, ὁ πλάτας ἐστιν Ἀδράστου τοῦ Γλύκωνος τοῦ Γλύκωνος τοῦ Λέοντος τοῦ  Ἑκατόμνονος Πολυχρονίου ὅντινα πλάταν συνεχώρησεν αὐτῷ Πολυχρονία Καλλικράτου  εἰς ὃν πλάταν κατεσκεύασεν μνημεῖον τὸ ἐπικείμενον τῷ πλάτᾳ σορόν τε καὶ ἰσώστας τὰς ἐν αὐτῷ  καὶ τὰ λυπὰ τὰ ἐν αὐτῷ εἰς ἣν σορὸν ἔθαψα Βαρίλλαν τὴν ἐμαυτοῦ γυναῖκα βούλομαι δὲ καὶ αὐτὸς  ἐν τῇ σορῷ τεθῆναι ἕτερον δὲ μηδένα ἐν δὲ τῇ ἰσώστῃ τῇ πρώτῃ ὑποκειμένῃ σορῷ ἐνταφῆναι  βούλομαι τὴν γυναῖκά μου καὶ Πολυχρόνιον τὸν υἱόν μου ἐν δὲ τῇ ἑτέρᾳ ἰσώστῃ τεθῆναι βούλομαι  Τατιανὸν καὶ  Ἄδραστον τὰ τέκνα μου ἕτερον δὲ μήδε ἐν τῷ σορῷ μήδε ἐν ταῖς ἰσώσταις  τεθῆναι εἰ δὲ τὸν ὕσπληγα οἱ κληρονόμοι μου μετὰ τὸ ἐντεθῆναί με ἐν τῇ σορῷ μὴ ἀσφαλίσωνται  ἔστω μου κληρονόμος ἡ θεὰ Ἀφροδείτη τοῦτο δὲ ἐκδικήσουσιν οἱ κατὰ καιρὸν νεωπυοὶ ἐπὶ αὐτοῦ  ἔστωσαν ὑπεύθυνοι ἐὰν δέ  τις  ΛΛΙΛΙΑΥ α διατετάγμαι ἕτερόν τιιι θάψει ἔστω ἐπάρατος καὶ  προσαποτεισάτω τῷ ἱερωτάτῳ ταμείῳ δηνάρια η ὧν τὸ τρίτον μέρος ἔστω τοῦ ἐκδικήσαντος ,0001,0400,none,low
40,iAph080059.xml,"Φροντίνου 
Νικᾷ ἡ τύχη τοῦ


 οτλ 
 ιγ





μ  χην    ιβ 
  κατ 

 Νικᾷ ἡ τύχη τῶν Βενέτων

 τόπος
Σπανδιου   θκρχη πυ   ακ ",0101,0600,none,low
41,iAph010027.xml,σρισιου ,0401,0600,none,low
42,iAph120416.xml, αμ τεινον Διογένην Ἀσίας ἀρχιερῆ νομοθέτην γυμνασίαρχον δι´ αἰῶνος  τὸν εὐεργέτην  ἡ πατρίς  ἐπιμεληθεντος τῆς ἀναστάσεως τοῦ ἀνδρι  αντος Ἡφαιστιωνος β τοῦ Δημητρίου τοῦ  πρωτολόγου ἄρχοντος   ,0101,0300,none,no value
43,iAph010405.xml,"
 ὑπὲρ σωτηρίας τοῦ ἀρχιεπισκόπου ",0401,0600,none,low
44,iAph120320.xml," ἡ ἐπικειμένη τῷ θωρακείῳ σορός ἐστιν  Σωτείρας, ἐν ᾗ κηδευθήσεται μόνη ἐγὼ καὶ οὓς ἂν βούλωμαι  ἕτερος δὲ οὐδείς καὶ μετὰ τὴν ἀποθέωσιν μου οὐδεὶς ἕξει ἐξουσίαν ἀνοῖξαι τὴν σορὸν ἢ ἐνθάψαι τινὰ εἰς τὸ μνημεῖον ἢ μετακομίσῃ ἀλλαχοῦ χωρὶς τῆς συνχωρήσεως ἐμαυτῆς ἐπεὶ ἐάν τις ἀνοίξῃ ἢ ἐνθάψῃ τινὰ ἢ μετακομίσῃ  ἔστω ἐπάρατος καὶ τυμβωρύχος καὶ προσαποτεισάτω εἰς τὸ αἰράριον δήμου Ῥωμαίων  μύρια ὧν τὸ τρίτον ἔσται τοῦ ἐκδικήσαντος καὶ οὐδὲν ἧττων  μετὰ τὴν ταφήν μου ἀφηρωΐζεσθαι τὴν σορόν κήδεσθαί τε τῆς σοροῦ τὴν ἱερωτάτην βουλήν τῆς ἐπιγραφῆς ταύτης ἀπετέθη ἀντίγραφον καὶ εἰς τὸ χρεοφυλάκιον ἐπὶ στεφανηφόρου τὸ  Ἀτταλίδος τῆς Μενεκράτους μηνὸς  ",0101,0200,none,low
45,iAph120315.xml,W,0101,1000,none,no value
46,iAph040308.xml, τῇ προμήτορι Ἀφροδείτῃ   καὶ τῷ Δήμῳ   Ἀυτοκράτωρ Καῖσαρ Νέρουας Τραϊανὸς Σεβαστὸς  Γερμανικὸς Δακικὸς ἐκ τῆς  Ἀδράστου τοῦ Περείτου Γρύπου διαθήκης ἀποκαθέστησεν διὰ Καλλικράτους τοῦ  Περείτου Γρύπου ἱερέως   ἐργεπιστάτου   ὁ δῆμος τοὺς ἀνδριάντας τοῦ  Κύκλωπος κατενεχθέντας ὑπὸ  σεισμοῦ καὶ συντριβέντας καὶ ἀχρειωθέντας ἐκ τῶν ἰδίων ἐπισκευάσας ἀποκαθέστησεν  ,0102,0116,no value,no value
47,iAph010148.xml, Μαρκ– Φλαουι– Αὐρηλι– ,0101,0300,none,low
48,iAph090108.xml,λίας Φρ ται  ΑΝ  γεγραμμεν ,0001,0300,none,no value
49,iAph110104.xml,Διονύσιος Παπύλου τοῦΠαπύλου Διονυσιου ἱερεὺςΔιὸς  Νινευδίου καθὼςὑπέσχετο υΣεβαστὸν Γερμανικὸνἀνίκητον θεὸν  ΔιονύσιοςΠαπύλου τοῦ Παπύλου Διονυσίου ἱερεὺς Δίος Νινευδίου συνκαθιέρωσεν τὸν θεὸν τῷ θεῷ καθὼς ὑπέσχετο ντουλοσ καθ ὼς ὑπέσχετο θεὸν  Σεβαστὸν Καίσαρα καθιέρωσεν Διονυσι Παπυλο,0069,0096,none,low
50,iAph020701.xml,Ἀφροδείτῃ  ἐκ θεμελίων σμε,0001,0100,none,low
51,iAph150222.xml, ντο παν  μετηλλάχθαι  τοναι ,0001,0100,none,low
52,iAph010134.xml,ασδοια,0101,0300,none,low
53,iAph121016.xml, ὁ πλάτας  καὶ ὁ βωμὸς καὶ  εἰσιν Ποπλίου Αἰλίου Αὐρηλίου  κατασκευασθέντα καὶ τοῖς τέκνοις  αὐτοῦ  ἐν ᾗ σορῷ κεκήδευται ὁ υἱὸς Πόπλιος  Αἴλιος  Αὐρήλιος  καὶ  κηδευθήσεται  δὲ καὶ Πόπλιος Αἴλιος Αὐρήλιος Ἀ ἕτερος δὲ οὐδεὶς ἕξει ἐξουσίαν ἐνθάψαι εἰς αὐτήν τινα ἢ ἐκθάψαι  ἀπὸ αὐτῆς  ἐπεὶ ὁ τολμήσας τι τούτων ἔσται ἀσεβὴς  καὶ ἐπάρατος καὶ τυμβωρύχος καὶ προσαποτείσει θεῷ Ἀφροδείτῃ δηνάρια  μύρια ε τοῖς δὲ κατὰ καιρὸν νεοποιοῖς  χρυσοφόροις τῆς θεοῦ δηνάρια  τῆς  ἐπιγραφῆς ταύτης ἀπετέθη ἀντίγραφον εἰς τὸ χρεοφυλάκιον ἐπὶ στεφανηφόρου τὸ β Ἀττάλου υἱοῦ   Μενάνδρου μηνὸς ,0101,0300,none,low
54,iAph040109.xml,  Ἀφροδίτῃ   χηαν ,0001,0100,none,low
55,iAph010124.xml, ιη  Μολοσσο-  κιανοῦ καὶ ἐγγονος  φιλόθεος  ,0001,0100,none,low
56,iAph120504.xml,Μένανδρος Μηνοδότου ὑπὲρ Μηνοδότου τοῦ πατρὸς καὶ ὑπὲρ Εὐγενήας τῆς μητρὸς τὸ ἐπιστύλιον καὶ τὸν ἐπ' αὐτοῦ κόσμον ωι καὶ τῷ Δήμωι,-33,0033,no value,low
57,iAph080502.xml,  χειμερινή  ιμε  θερινή  ,0001,0200,none,low
58,iAph080107.xml,"

Νικᾷ ἡ τύχη τῶν Πρασίνων",0400,0600,no value,no value
59,iAph150336.xml, καμ π ,0201,0500,none,no value
60,iAph110110.xml,ισλ δαπανήσαντα ἀπὸ δηνάρια μυρίων εἰρηναρχήσαντα παραφυλάξαντα καὶ τὰς ἄλλας ἀρχὰς καὶ λιτουργίας  καὶ συνεισδόσεις τῇ πατρίδι καὶ παρὰ δύναμιν πληρώσαντα ὑπέρ τε αὑτοῦ καὶ  Μάρκου  ΑὐρηλίουΠολυχρονίου τοῦ  υἱοῦ αὐτοῦ ἀναθὲντα δὲ καὶ τῇ κρατίστῃ βουλῇ εἰς αἰωνίους κλήρους δηνάρια αχο γεινομένου τοῦ κλήρου πρὸς τῷ ἀνδριάντι αὐτοῦ ἑκάστου ἔτους μηνὶ ι ὀνομάτων σ λαμβανοντος ἑκάστου τῶν λαχόντων δηνάριαϚ κατθὰ καὶ διὰ τῆς ἀναθέσεως δηλοῦται τειμ,0201,0300,none,no value
61,iAph130302.xml,"
ἡ βουλὴ
 καὶ
 ὁ
 δῆ
μος ἐτείμησεν
 
ταῖς καλλίσ
ταις 

τειμαῖς
 Κάλλιπον 

Ξενοκράτους

 γυμνασιαρχήσαντα καὶ στεφανηφορήσαντα καὶ 
ἀγωνοθετήσαντα καὶ ἐν πάσαις 
ταῖς λιτουργίαις 
καὶ φιλ
οδοξίαις 



ἡ βουλὴ καὶ ὁ δῆμος ἐτείμησεν 

Ἀθηναγόραν Ἀθηναγόρου τοῦ 
Εὐμάχου ἄνδρα 
καλὸν καὶ ἀγαθὸν 
καὶ φιλόπατριν 
καὶ γυμνασίαρχ{ι}ον καὶ στεφανηφόρον καὶ ἀγωνοθέτην γενόμενον καὶ πρεσβεύσαν τα 


ἡ βουλὴ καὶ ὁ δῆ
 μος ἐτείμησεν   γυναῖ κα Ἀθηναγόρου
  τοῦ Ἀθηναγόρου  σεμνὴν καὶ φίλανδρον καὶ φιλότεκνον πάσῃ διὰ 
παντὸς τοῦ
 βίου δόξῃ διαφέρουσαν  ",0001,0200,none,low
62,iAph010173.xml,  λη  καὶ του ἔθνους πωδεστ ρωσλ γ  ,0101,0300,none,no value
63,iAph120404.xml,Ἀντίπατρος Μήνιδος τὸ ἐπιστύλιον  καὶ τὸν ἐπ' αὐτοῦ κόσμον τῶι Δήμωι Διονύσιος Ἀδράστου τοῦ Διονυσίου τὸ ἐπιστύλιον καὶ τὸν ἐπ' αὐτοῦ κόσμον τῶι Δήμωι,-0100,0100,none,no value
64,iAph110029.xml, ακι χ ὁ υἱὸς φ  να περὶ αὐτὰ δικαίῳ παντὶ Αὐρηλίας Μενανδρίδος τῆς Μενάνδρου τοῦ Μολόσσου τοῦ   Μολόσσου τοῦ Διογένους ἐν ᾗ σορῷ κεκήδευται Αὐρήλιος  Φιλόκαπος Φιλοκάπου τοῦ Κορύμ   βου ἀνὴρ αὐτῆς κηδευθήσεται δὲ ἥ τε Μενανδρὶς καὶ Φιλόκαπος τρὶς τοῦ Κορύμβου ὁ υἱὸς   αὐτῶν ἕτερος δὲ οὐδεὶς ἕξει ἐξουσίαν ἢ ἐνθάψαι τινὰ ἐν τῇ σορῷ ἢ ἐκθάψαι τῶν ἐν αὐτῇ ἐπεὶ ὁ   τοιοῦτό τι ποιήσας ἔστω ἀσεβὴς καὶ ἐπάρατος καὶ τυμβωρύχος καὶ προσαποτεισάτω θεᾷ Ἀφροδείτῃ  καὶ εἰς τειμὰς τῶν Σεβαστῶν δηνάρια σμ ὧν τὸν τρίτον ἔστω τοῦ ἐκδικήσαντος ἐν δὲ  ταῖς προειρημέναις εἰσώσταις δύο ταφήσονται οὓς ἂν Μενανδρὶς βουληθῇ ἢ διατάξηται   τῆς ἐπιγραφῆς ἀπετέθη ἀντίγραφον εἰς τὸ χρεωφυλάκιον ἐπὶ στεφανηφόρου τὸ ζ λα   Κλαυδίου Διογένους μηνὸς Γορπιαίου  ,0101,0300,none,no value
65,iAph150285.xml,ιος ζ  Ἀλεξανδρ   ,0101,0300,none,no value
66,iAph130308.xml, ἡ σορὸς καὶ ὁ τόπος  ο   υἱοῦ Τιβερίου   Ἀντωνία Ι  των καὶ οὓς ἄν ὁ  βουληθῆ   ,0101,0300,none,no value
67,iAph130150.xml,   εἰς ἣν σορὸν κηδευθήσεται Πολυδεύκης Καμησηνὸς Σαλβίου τοῦ Ὀνησίμου τοῦ  Ἀλεξάνδρου τοῦ Ἀδράστου Σαλβίου σύντροφος αὐτοῦ εἰς δὲ τὴν ἰσώστην Αὐρηλία  Μελτίνη καὶ Αὐρηλία Ἀρτεμιδώρα αἱ θρεπταὶ καὶ ἀπελεύθεραι αὐτοῦ  ΙΕΙ  ,0201,0250,none,low
68,iAph110026.xml,νοσ   κατεσκευάσεν τὰ πάντα ,0101,0150,none,low
69,iAph090027.xml, Λούκιον Καίσαρα,0014,0069,both,no value
70,iAph050110.xml, ισιε λαυτοισ συπαρχε  ἀποδοθ  περὶ ὧν α οσιαεισκ κλιπλησ  ,0001,0200,none,low
71,iAph150348.xml,ι ψυχή αμονινησανιινκλ ,0301,0400,none,low
72,iAph110013.xml, νοσ καὶ τ,0001,0100,none,low
73,iAph110009.xml,   εισιδ    καὶ τ ,0001,0300,none,no value
74,iAph150283.xml, ν λα ζο  ,0101,0300,none,no value
75,iAph120913.xml,Σ ΓΟΙ ΚΤΙΣ ΤΕ Ο ,0101,0300,none,no value
76,iAph130148.xml,"  τῆ




ς
 



σοροῦ

  κήδεται ἡ ἱερωτάτη βουλὴ ὡς ὑπογέγραπται",0200,0250,no value,no value
77,iAph120605.xml,ωσ ἐπεὶ  εσκαὶ Ἀφροδεισ ι καὶ εὔνους τῆς ι καὶ ἐν καιροῖς ψ ιτο  ,0001,0300,none,low
78,iAph130602.xml, ἡ σορός ἐστιν καὶ ὁ τόπος Μάρκου Αὐρηλίου Ζήνωνος τοῦ τοῦ Ζήνωνος  τοῦ Ὀφελίου Χριστοῦ  μνήμης χάριν,0201,0300,none,low
79,iAph040004.xml, Ἀφροδίτηι καὶ  Αὐτοκράτορι Καίσαρι Θεῶι  Σεβαστῶι Διὶ Πατρῴωι καὶ  Ἀυτοκράτορι Τιβερίωι Καίσαρι Θεοῦ Σεβαστοῦ υἱῶι Σεβαστῶι  καὶ  Ἰουλίαι Σεβαστῆι  καὶ τῶι Δήμωι τὴν στόαν  Διογένης Μενάνδρου τοῦ  Διογένους τοῦ Ἀρτεμιδώρου καὶ  ἱερηα Ἀφροδίτης  καὶ  Μένανδρος αιιαλτατι,0014,0029,both,no value
80,iAph120313.xml, τὸν πλάταν κατεσκεύασεν Λιβυρνος Διοτρέφους ἐν ᾧ πλάτᾳ  οὐδεὶς ἐξουσίαν ἕξει θεῖναί τινα χωρὶς  τῆς τοῦ κληρονόμου  μου γνώμης    ,0066,0133,none,low
81,iAph010030.xml,Ὀνήσιμος.,0401,0900,no value,low
82,iAph130505.xml,  ἐν τῷ μνημεσίῳ ,0101,0100,none,low
83,iAph120202.xml,"ἡ βουλὴ καὶ ὁ δῆμος  



κ

αὶ ἡ γερουσία καὶ οἱ νέοι  ἐτείμησαν   ταῖς καλλίσταις τειμαῖς Ἄδραστον Ἀδράστου πέμπτον ἱερονεί κην ἀπὸ συνόδου ἄνδρα γένους πρώτου ζήσαντα πρὸς ἀρετὴν   καὶ εὐδοξίαν ",0001,0200,none,no value
